"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central African Republic","CAF","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21197995714737","","","","8.28435088958081","7.90850338366884","8.4078921966114","7.54040362417486","8.17237728051962","","4.09850069590061","5.44899138512974","6.80758893701064","7.08124424919758","8.63983071970915","8.31845804475991","8.70964482691346","8.20629229709995","","","",
"Canada","CAN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1121292420859","14.3976756016547","14.3088598010122","13.6523358280781","13.0736945245539","13.2870622555226","13.8784928253593","14.5677283478242","14.668397589042","14.6999207275996","14.8577431846106","14.1814798149467","13.3776274685072","13.2289347132717","13.3447478670743","13.2994928856977","13.3482206693421","13.3344320068963","12.3901655964853","12.3043859548638","11.7328092981826","11.8039212812623","11.6644273631038","11.6235045990299","11.8083790792206","12.3898109063213","12.496562633144","12.6120166809848","13.0576846693075","12.7416889014909","13.5033320933869","13.1224529874825","12.6566325492645","13.8086310974467","",
"Central Europe and the Baltics","CEB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.477537371955","20.1883060367078","19.4574211077872","19.3916632807516","19.2524024988647","18.5049831274579","17.9952461733102","17.2333947407174","17.3949218346542","17.6870902626317","17.2712542635964","17.4786983158059","17.7655496109964","18.2444100745844","18.1654106360771","16.7681457422256","16.9318599871965","17.1146173045846","17.1235421437319","17.2747532324202","17.2654345128373","17.6224344557692","17.6420825596697","17.6266589993056","17.5115843733634","17.630137639552","17.501112926005","18.0800898565417","17.8083395311882","","",
"Switzerland","CHE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","6.79436718037962","6.46873345591447","6.6238750271988","6.69634943681695","7.685615007616","7.38017137221","7.55642504355539","7.12646196832764","7.29219795830241","7.30752885885387","7.60063645322698","7.63540611246903","7.79276889758414","7.67208944759306","8.30925643584495","7.96664369750685","8.33860184481515","7.82486553334724","7.9537221560364","7.7608400962141","7.91935844669559","7.33965146589565","7.85574635967433","7.91546148574552","8.33804506820865","8.32392921234567","9.26195695886805","8.91888653246466","10.032345418206","8.97063263009422","8.9557042716729","8.97757718629271","9.020393896535","9.12616072837828","9.19403806543004","9.0656237703257","9.58714189507603","9.34852798673042","9.36400805396417","9.32195218828286","9.1690747420643","9.25621409876975","9.08733951832234","9.55617901664748","9.40460314074152","10.0616352775918","9.69102394496102","9.90716918660662","9.34487114995366","10.0701481850006","8.98993332375411","9.00355781848034","",
"Channel Islands","CHI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","15.9224229894982","17.0051881634313","15.9688988775224","20.0985522076665","18.0745799385956","18.3521918042929","18.2460516351824","17.5877044630684","18.6925787568221","19.7371408422216","19.5721637532703","18.5989682489998","19.7245477999565","17.9129369664579","17.6978797236696","16.5445349918325","14.3013857925166","13.8639366518689","13.1916391519859","15.0741621731857","15.5435493385271","16.1030196183924","15.5051415719314","15.0239221881507","16.0605426587527","15.7811009565986","15.771289644969","15.0949570823752","16.0724036282154","15.9131257668038","16.0730676241399","15.7688272670367","16.4239450549758","18.1208899058922","19.6120173267628","20.3790285412133","18.7092655630745","14.6058605652765","17.4710062673519","18.9360959983723","18.9910595532311","17.4587728968776","17.0445012148873","17.5460829269259","17.4689644143561","17.5057946834574","18.3955244984111","17.7188527688584","16.1961693332108","19.676220357285","21.3364673190491","17.7194011324145","",
"China","CHN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45243795005463","8.9294828249282","9.62573731753299","9.94341352833548","10.1348503817539","10.0382796577366","10.1512000219484","10.0894667610088","9.7321625039509","9.49826837509792","9.19468038601503","8.94556190414739","9.24872439343925","8.89089034445248","8.32942550168391","7.92409749807608","7.79829641266187","7.51799464421188","7.6382330077989","",
"Cote d'Ivoire","CIV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0109074301712","","","","","18.8190745863034","","","","","","9.53622594518063","10.0548462063633","9.6568945061175","10.0128885806634","9.87243911760948","10.3299160766247","10.6657567522302","10.7442668136723","10.5012658369382","10.213762113664","7.57148126100708","10.619351578358","10.6359292433206","10.1172575454966","11.1757327985719","11.4603709076892","11.7563706937153","11.6659927465613","11.6654955006353","11.7866882349007","12.3894127185479","11.8184021009685","13.2275071772521","",
"Cameroon","CMR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.76735861979995","8.90515524474841","9.75370088625251","6.55007578773669","5.8984195225778","7.18366897108368","","","9.69459913614923","9.70701807917569","","","","","","","","","","","","","11.3444056049257","11.5221169764532","12.285343811226","12.1109695914613","11.6520313878748","11.8759411884958","12.3469457091006","12.0282727602432","10.8705828088042","11.3415157249134","","","",
"Congo, Dem. Rep.","COD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.29067611352159","4.144","2.72687382297552","3.40808940069341","2.65117845020956","4.93161576886034","4.76004711918406","4.05375005067188","5.34976331444522","3.45979673835024","0.779702331211264","2.75245906279561","4.23547372723084","4.04019790111332","5.27673897174681","5.92061129810681","6.82822239226628","6.99218978555509","8.96688350964023","7.89217086585723","8.35044775618357","","8.85708633774351","9.0435603246263","8.63671684952941","9.10271198104293","7.95234699974678","6.59070535042188","7.29514885352042","6.37728987366072","6.42988209797017","8.39903438797131","11.4110225672126","","",
"Congo, Rep.","COG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.07093687448128","8.14290465105231","8.64750467565705","7.81359440634417","5.68812043548284","5.29500881987698","6.02757381714862","5.89662454769078","8.22388188953649","6.90293864613017","8.11448976998956","7.27824633580598","8.62436076451018","9.58092115614526","12.1951444175552","13.089464226841","10.1352630831832","6.82845231849733","7.1015493816633","8.32448488619369","6.50908825817085","","","",
"Colombia","COL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7437321544523","13.4769212818618","11.219754185325","","","11.2588268638482","","","","","13.0315110144915","12.6752273841946","12.1421652023674","14.5758811869672","13.2269907142761","14.0221143464507","15.6997483720014","15.797262655066","14.3852129298513","14.8508184081791","14.6098424480272","14.90052462326","14.0452385553971","14.4463230965207","15.2632926829768","17.5674674239274","",
"Comoros","COM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0767998978947","22.7417663414263","19.175765528895","19.4194463721053","16.8835936405793","16.8224328482522","17.9870830170972","16.2810827268418","16.2703554620725","15.5325589020017","17.1355967789329","16.7252781324397","17.803638365855","18.9316063388254","18.2240332372127","18.3857032934311","","","","",
"Costa Rica","CRI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","11.4413690693542","12.4970478184578","13.6201639990327","12.4370708760522","12.1882799048153","12.3050282048147","12.6515622799897","11.883970601474","11.6168139669017","12.381200780513","12.6557483542812","15.2187698161065","14.7168072809855","13.2730530245079","13.2573983298679","14.4341578176762","14.7022326120795","13.7047507846128","13.0573346474185","10.5863515072178","11.976548253817","12.0352693137855","11.5807869301161","12.2450379591895","12.6428152370212","12.613164915421","12.8238649326758","13.1337581607143","12.8397128305791","13.3610338036884","13.368108901546","13.5849516097946","13.3589275001756","13.635396985214","13.8416637386242","14.8564701560594","15.2325099066937","13.1830719882569","12.952542058662","13.2089868654445","13.1052960656874","13.416824749474","13.0455889626524","13.2539942164374","13.5108543354355","13.244102554609","13.1821486851418","13.3201329229222","12.2380289918919","14.0405858577751","14.35419412102","13.9115296591948","",
"Caribbean small states","CSS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2539456883569","17.145279019684","18.4663239505309","19.0001643511077","21.7430967657961","24.1282367639552","21.8647907352494","23.9704493451637","22.2086308214086","21.4031582269401","21.694061637646","20.9375532623371","20.3655657422368","20.8253437058967","21.2124221028716","19.9413811996905","17.6442833839951","","","","","","","",
"Cuba","CUB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
